Part Family,X,Y,Z,Material,4130,F22,Threading Type,JFE Lion,TenarisHydril Blue®,VAM TOP®,Coating Type,Phosphating,Xylan Coating,Ni Plating,Cu Plating,Carbide Coating,Weight (lbs),Length (inches),Diameter (inches),RM Cost/Lb,Alpha,Beta,Gamma,Price
X,1,0,0,F22,0,1,TenarisHydril Blue®,0,1,0,Xylan Coating,0,1,0,0,0,165.23936,46,4,0.8300750243,1.8,1.13,1.01, $ 281.78 
X,1,0,0,4130,1,0,JFE Lion,1,0,0,Cu Plating,0,0,0,1,0,416.69056,29,8,0.6214222859,1.8,1.05,1.02, $ 499.19 
X,1,0,0,F22,0,1,JFE Lion,1,0,0,Ni Plating,0,0,1,0,0,341.03069,31,7,0.8300750243,1.8,1.05,1.05, $ 561.77 
X,1,0,0,4130,1,0,JFE Lion,1,0,0,Carbide Coating,0,0,0,0,1,758.8438,20,13,0.6214222859,1.8,1.05,1.10, $ 980.38 
X,1,0,0,F22,0,1,TenarisHydril Blue®,0,1,0,Xylan Coating,0,1,0,0,0,517.04653,47,7,0.8300750243,1.8,1.13,1.01, $ 881.70 
X,1,0,0,4130,1,0,TenarisHydril Blue®,0,1,0,Phosphating,1,0,0,0,0,226.30608,28,6,0.6214222859,1.8,1.13,1.00, $ 286.04 
X,1,0,0,F22,0,1,TenarisHydril Blue®,0,1,0,Phosphating,1,0,0,0,0,25.14512,28,2,0.8300750243,1.8,1.13,1.00, $ 42.45 
X,1,0,0,F22,0,1,VAM TOP®,0,0,1,Ni Plating,0,0,1,0,0,64.65888,8,6,0.8300750243,1.8,1.2,1.05, $ 121.73 
X,1,0,0,4130,1,0,TenarisHydril Blue®,0,1,0,Ni Plating,0,0,1,0,0,627.05643,57,7,0.6214222859,1.8,1.13,1.05, $ 832.21 
X,1,0,0,4130,1,0,VAM TOP®,0,0,1,Xylan Coating,0,1,0,0,0,363.03267,33,7,0.6214222859,1.8,1.2,1.01, $ 492.16 
X,1,0,0,4130,1,0,TenarisHydril Blue®,0,1,0,Phosphating,1,0,0,0,0,143.46189,71,3,0.6214222859,1.8,1.13,1.00, $ 181.33 
X,1,0,0,F22,0,1,VAM TOP®,0,0,1,Xylan Coating,0,1,0,0,0,449.02,20,10,0.8300750243,1.8,1.2,1.01, $ 813.13 
X,1,0,0,F22,0,1,VAM TOP®,0,0,1,Carbide Coating,0,0,0,0,1,258.63552,72,4,0.8300750243,1.8,1.2,1.10, $ 510.10 
X,1,0,0,F22,0,1,TenarisHydril Blue®,0,1,0,Phosphating,1,0,0,0,0,462.04158,42,7,0.8300750243,1.8,1.13,1.00, $ 780.10 
X,1,0,0,F22,0,1,VAM TOP®,0,0,1,Ni Plating,0,0,1,0,0,96.98832,48,3,0.8300750243,1.8,1.2,1.05, $ 182.59 
X,1,0,0,F22,0,1,JFE Lion,1,0,0,Cu Plating,0,0,0,1,0,201.16096,56,4,0.8300750243,1.8,1.05,1.02, $ 321.90 
