Part Family,Material,Threading Type,Coating Type,Weight (lbs),Length (inches),Diameter (inches),RM Cost/Lb,Alpha,Beta,Gamma,Price
X,4130,JFE Lion,Phosphating,948.33024,66,8,0.6214222859,1.7,1.8,1.1," $ 1,341.87 "
X,F22,TenarisHydril Blue®,Xylan Coating,165.23936,46,4,0.8300750243,1.4,2.0,1.1, $ 312.32 
Y,4130,TenarisHydril Blue®,Ni Plating,2992.26928,68,14,0.6214222859,1.2,1.4,1.5," $ 5,857.31 "
Z,4130,TenarisHydril Blue®,Cu Plating,3485.51775,69,15,0.6214222859,1.9,1.4,1.0," $ 11,707.98 "
X,4130,JFE Lion,Cu Plating,416.69056,29,8,0.6214222859,1.6,1.7,1.7, $ 589.61 
X,F22,JFE Lion,Ni Plating,341.03069,31,7,0.8300750243,1.9,1.5,1.8, $ 644.58 
X,4130,JFE Lion,Carbide Coating,758.8438,20,13,0.6214222859,1.5,1.4,1.6," $ 1,073.75 "
X,F22,TenarisHydril Blue®,Xylan Coating,517.04653,47,7,0.8300750243,1.9,1.1,1.2, $ 977.26 
Y,F22,JFE Lion,Ni Plating,1092.01664,19,16,0.8300750243,1.3,1.2,1.9," $ 2,855.34 "
X,4130,TenarisHydril Blue®,Phosphating,226.30608,28,6,0.6214222859,1.7,1.2,1.6, $ 320.22 
X,F22,JFE Lion,Xylan Coating,1363.89825,27,15,0.8300750243,1.9,1.3,1.8," $ 2,577.88 "
X,4130,JFE Lion,Phosphating,1778.1192,55,12,0.6214222859,1.9,1.6,1.3," $ 2,516.00 "
Y,4130,VAM TOP®,Xylan Coating,143.6864,40,4,0.6214222859,2.0,1.9,1.9, $ 281.26 
Z,4130,JFE Lion,Phosphating,2758.77888,48,16,0.6214222859,1.8,1.9,1.3," $ 9,266.84 "
Z,4130,JFE Lion,Carbide Coating,374.03366,34,7,0.6214222859,1.2,1.3,1.4," $ 1,256.39 "
Y,4130,VAM TOP®,Carbide Coating,162.99426,6,11,0.6214222859,1.5,1.7,1.7, $ 319.06 
Y,F22,VAM TOP®,Ni Plating,1212.354,54,10,0.8300750243,1.1,1.6,1.3," $ 3,169.99 "
X,F22,TenarisHydril Blue®,Phosphating,25.14512,28,2,0.8300750243,1.1,1.8,1.6, $ 47.53 
X,F22,VAM TOP®,Ni Plating,64.65888,8,6,0.8300750243,1.5,1.1,1.9, $ 122.21 
Z,4130,TenarisHydril Blue®,Ni Plating,224.51,10,10,0.6214222859,1.5,1.9,1.4, $ 754.14 
Z,4130,JFE Lion,Cu Plating,3036.27324,69,14,0.6214222859,1.1,1.5,1.7," $ 10,198.95 "
X,4130,TenarisHydril Blue®,Ni Plating,627.05643,57,7,0.6214222859,1.6,1.5,1.7, $ 887.27 
X,4130,VAM TOP®,Xylan Coating,363.03267,33,7,0.6214222859,1.6,1.7,1.3, $ 513.68 
Y,F22,TenarisHydril Blue®,Ni Plating,17.9608,20,2,0.8300750243,1.8,1.0,1.1, $ 46.96 
X,4130,TenarisHydril Blue®,Phosphating,143.46189,71,3,0.6214222859,1.4,1.9,1.3, $ 203.00 
X,F22,VAM TOP®,Ni Plating,808.236,25,12,0.8300750243,2.0,1.9,1.0," $ 1,527.63 "
Z,4130,JFE Lion,Cu Plating,646.5888,20,12,0.6214222859,2.0,1.3,1.7," $ 2,171.92 "
Z,4130,TenarisHydril Blue®,Phosphating,26.9412,30,2,0.6214222859,1.3,1.8,1.8, $ 90.50 
Y,4130,TenarisHydril Blue®,Ni Plating,28.06375,5,5,0.6214222859,1.3,1.7,1.0, $ 54.93 
X,4130,JFE Lion,Carbide Coating,2069.08416,36,16,0.6214222859,1.2,2.0,1.1," $ 2,927.71 "
Y,F22,TenarisHydril Blue®,Cu Plating,1086.6284,40,11,0.8300750243,1.5,1.0,1.9," $ 2,841.25 "
X,F22,VAM TOP®,Xylan Coating,449.02,20,10,0.8300750243,1.1,1.3,1.2, $ 848.68 
Y,4130,VAM TOP®,Ni Plating,404.118,18,10,0.6214222859,1.3,1.1,1.7, $ 791.05 
X,4130,TenarisHydril Blue®,Cu Plating,1466.94834,54,11,0.6214222859,1.3,1.9,1.7," $ 2,075.70 "
X,F22,JFE Lion,Phosphating,1100.32351,29,13,0.8300750243,1.3,1.0,1.6," $ 2,079.70 "
Y,4130,TenarisHydril Blue®,Carbide Coating,72.74124,9,6,0.6214222859,1.6,1.3,1.5, $ 142.39 
Y,F22,TenarisHydril Blue®,Phosphating,404.118,50,6,0.8300750243,1.1,1.7,1.2," $ 1,056.66 "
X,4130,TenarisHydril Blue®,Phosphating,1100.099,25,14,0.6214222859,1.2,1.7,2.0," $ 1,556.62 "
X,F22,VAM TOP®,Carbide Coating,258.63552,72,4,0.8300750243,1.3,1.0,1.8, $ 488.84 
Y,4130,JFE Lion,Phosphating,169.72956,21,6,0.6214222859,1.7,1.7,1.6, $ 332.24 
Y,4130,TenarisHydril Blue®,Cu Plating,501.10632,62,6,0.6214222859,1.5,1.7,1.4, $ 980.91 
Y,4130,VAM TOP®,Xylan Coating,1707.39855,45,13,0.6214222859,1.0,1.4,1.1," $ 3,342.20 "
X,F22,JFE Lion,Cu Plating,2010.93607,53,13,0.8300750243,1.5,1.1,1.8," $ 3,800.83 "
Y,4130,VAM TOP®,Ni Plating,58.3726,65,2,0.6214222859,1.5,1.3,1.9, $ 114.26 
X,4130,JFE Lion,Ni Plating,1792.93686,66,11,0.6214222859,1.6,1.5,1.4," $ 2,536.97 "
Y,4130,TenarisHydril Blue®,Xylan Coating,48.49416,6,6,0.6214222859,1.3,2.0,1.4, $ 94.93 
Y,4130,VAM TOP®,Phosphating,246.961,11,10,0.6214222859,1.4,1.7,1.4, $ 483.42 
X,F22,TenarisHydril Blue®,Phosphating,462.04158,42,7,0.8300750243,1.7,1.8,1.9, $ 873.30 
Y,4130,TenarisHydril Blue®,Xylan Coating,86.21184,24,4,0.6214222859,1.6,1.8,1.2, $ 168.76 
X,F22,TenarisHydril Blue®,Ni Plating,3850.79552,67,16,0.8300750243,1.6,1.4,1.1," $ 7,278.31 "
X,4130,TenarisHydril Blue®,Phosphating,836.52426,46,9,0.6214222859,1.6,1.5,1.5," $ 1,183.66 "
Y,F22,TenarisHydril Blue®,Cu Plating,24.24708,12,3,0.8300750243,1.8,1.2,1.2, $ 63.40 
Z,F22,JFE Lion,Phosphating,842.13701,31,11,0.8300750243,1.6,1.2,1.7," $ 3,778.57 "
X,F22,VAM TOP®,Ni Plating,96.98832,48,3,0.8300750243,2.0,1.8,1.2, $ 183.32 
X,F22,TenarisHydril Blue®,Xylan Coating,709.22709,39,9,0.8300750243,1.7,1.2,1.1," $ 1,340.50 "
X,F22,JFE Lion,Cu Plating,201.16096,56,4,0.8300750243,1.0,1.9,1.3, $ 380.21 
Y,4130,TenarisHydril Blue®,Ni Plating,56.57652,63,2,0.6214222859,1.4,1.4,1.5, $ 110.75 
Y,4130,TenarisHydril Blue®,Ni Plating,211.93744,59,4,0.6214222859,1.0,1.0,1.8, $ 414.86 
Y,F22,TenarisHydril Blue®,Ni Plating,418.26213,23,9,0.8300750243,1.5,1.3,1.4," $ 1,093.65 "
Y,F22,VAM TOP®,Carbide Coating,2332.20988,53,14,0.8300750243,1.8,1.6,1.1," $ 6,098.11 "
X,4130,VAM TOP®,Cu Plating,660.0594,15,14,0.6214222859,1.3,1.4,1.1, $ 933.97 
Y,4130,TenarisHydril Blue®,Ni Plating,3637.062,72,15,0.6214222859,1.2,1.5,1.2," $ 7,119.48 "
Y,4130,JFE Lion,Xylan Coating,298.82281,11,11,0.6214222859,2.0,1.8,1.3, $ 584.94 
X,4130,JFE Lion,Phosphating,46.69808,52,2,0.6214222859,1.3,1.6,1.3, $ 66.08 
X,4130,VAM TOP®,Xylan Coating,1257.256,56,10,0.6214222859,1.7,1.9,1.3," $ 1,778.99 "
Y,F22,JFE Lion,Cu Plating,179.608,50,4,0.8300750243,1.3,1.6,1.5, $ 469.63 
Z,4130,TenarisHydril Blue®,Xylan Coating,32.32944,4,6,0.6214222859,1.9,1.8,1.6, $ 108.60 
Z,4130,TenarisHydril Blue®,Xylan Coating,517.27104,36,8,0.6214222859,1.5,1.5,1.6," $ 1,737.53 "
Y,4130,VAM TOP®,Xylan Coating,154.01386,14,7,0.6214222859,1.9,1.9,1.9, $ 301.48 
Z,4130,JFE Lion,Phosphating,1648.80144,51,12,0.6214222859,1.8,1.1,1.7," $ 5,538.38 "
X,F22,VAM TOP®,Carbide Coating,111.13245,55,3,0.8300750243,1.1,1.2,1.4, $ 210.05 
X,4130,TenarisHydril Blue®,Phosphating,2295.39024,71,12,0.6214222859,1.8,1.7,1.2," $ 3,247.93 "
X,4130,TenarisHydril Blue®,Xylan Coating,763.78302,42,9,0.6214222859,1.8,1.9,1.2," $ 1,080.74 "
Z,F22,TenarisHydril Blue®,Carbide Coating,7.18432,8,2,0.8300750243,1.8,1.2,1.6, $ 32.24 
X,F22,JFE Lion,Carbide Coating,1496.13464,34,14,0.8300750243,1.6,1.2,1.5," $ 2,827.82 "
Y,4130,VAM TOP®,Phosphating,373.58464,26,8,0.6214222859,1.4,1.2,1.5, $ 731.28 
Z,F22,TenarisHydril Blue®,Ni Plating,145.9315,26,5,0.8300750243,1.4,1.3,1.5, $ 654.78 
Z,F22,TenarisHydril Blue®,Xylan Coating,355.62384,44,6,0.8300750243,1.1,1.3,1.3," $ 1,595.64 "
Z,4130,TenarisHydril Blue®,Ni Plating,1303.95408,48,11,0.6214222859,1.4,1.9,1.9," $ 4,380.03 "
Y,4130,JFE Lion,Phosphating,460.69452,57,6,0.6214222859,1.1,1.7,1.2, $ 901.80 
Z,F22,JFE Lion,Cu Plating,363.7062,20,9,0.8300750243,1.5,1.6,1.7," $ 1,631.91 "
Y,F22,VAM TOP®,Ni Plating,709.22709,39,9,0.8300750243,1.8,1.9,1.0," $ 1,854.44 "
X,F22,TenarisHydril Blue®,Carbide Coating,57.47456,64,2,0.8300750243,1.2,1.3,2.0, $ 108.63 
Z,F22,JFE Lion,Carbide Coating,1018.37736,56,9,0.8300750243,1.5,1.2,1.7," $ 4,569.34 "
Z,4130,TenarisHydril Blue®,Ni Plating,308.70125,55,5,0.6214222859,1.1,1.6,1.7," $ 1,036.94 "
Y,F22,JFE Lion,Xylan Coating,323.2944,10,12,0.8300750243,1.0,1.6,1.6, $ 845.33 
Y,F22,TenarisHydril Blue®,Phosphating,20.2059,10,3,0.8300750243,1.5,1.9,1.7, $ 52.83 
X,F22,VAM TOP®,Cu Plating,445.42784,31,8,0.8300750243,1.8,1.1,1.6, $ 841.89 
Y,F22,TenarisHydril Blue®,Ni Plating,39.28925,7,5,0.8300750243,1.3,1.4,1.4, $ 102.73 
Z,F22,TenarisHydril Blue®,Cu Plating,14.36864,4,4,0.8300750243,1.1,1.5,1.9, $ 64.47 
Y,4130,TenarisHydril Blue®,Cu Plating,840.56544,26,12,0.6214222859,1.1,1.1,2.0," $ 1,645.39 "
Y,4130,VAM TOP®,Phosphating,2816.25344,49,16,0.6214222859,1.7,1.8,1.2," $ 5,512.76 "
X,4130,JFE Lion,Xylan Coating,2323.6785,46,15,0.6214222859,1.1,1.7,1.8," $ 3,287.96 "
Z,4130,JFE Lion,Ni Plating,67.353,12,5,0.6214222859,1.6,1.3,2.0, $ 226.24 
Z,4130,TenarisHydril Blue®,Ni Plating,461.81707,17,11,0.6214222859,1.2,1.8,2.0," $ 1,551.26 "
X,4130,TenarisHydril Blue®,Xylan Coating,1369.511,61,10,0.6214222859,1.3,1.6,1.4," $ 1,937.83 "
Y,F22,TenarisHydril Blue®,Ni Plating,1648.80144,51,12,0.8300750243,1.8,1.6,1.8," $ 4,311.18 "
Z,4130,VAM TOP®,Phosphating,1738.60544,64,11,0.6214222859,1.2,1.1,1.2," $ 5,840.04 "
X,F22,TenarisHydril Blue®,Xylan Coating,991.43616,69,8,0.8300750243,1.1,2.0,1.9," $ 1,873.89 "
Y,F22,VAM TOP®,Cu Plating,14.36864,16,2,0.8300750243,1.2,1.1,1.3, $ 37.57 
Z,F22,VAM TOP®,Cu Plating,117.86775,21,5,0.8300750243,1.5,1.4,1.9, $ 528.86 
Z,F22,JFE Lion,Carbide Coating,872.89488,27,12,0.8300750243,1.7,1.8,1.7," $ 3,916.58 "
Y,4130,TenarisHydril Blue®,Ni Plating,185.89428,23,6,0.6214222859,1.5,1.3,1.2, $ 363.88 
X,4130,VAM TOP®,Ni Plating,145.48248,18,6,0.6214222859,1.1,1.7,1.2, $ 205.85 
X,F22,VAM TOP®,Cu Plating,531.63968,37,8,0.8300750243,1.1,1.4,1.0," $ 1,004.84 "
Y,4130,JFE Lion,Cu Plating,833.38112,58,8,0.6214222859,1.6,1.6,1.7," $ 1,631.33 "
Y,4130,VAM TOP®,Ni Plating,597.64562,22,11,0.6214222859,1.5,1.1,1.2," $ 1,169.88 "
Z,4130,TenarisHydril Blue®,Phosphating,339.45912,42,6,0.6214222859,1.3,1.2,1.2," $ 1,140.26 "
Z,4130,JFE Lion,Xylan Coating,1196.18928,37,12,0.6214222859,1.2,1.3,1.7," $ 4,018.04 "
Z,4130,VAM TOP®,Carbide Coating,215.5296,15,8,0.6214222859,1.4,1.0,1.1, $ 723.97 
X,4130,VAM TOP®,Phosphating,2241.50784,39,16,0.6214222859,1.6,1.6,1.5," $ 3,171.69 "
X,4130,TenarisHydril Blue®,Xylan Coating,1369.511,61,10,0.6214222859,1.8,1.3,1.7," $ 1,937.83 "
X,F22,VAM TOP®,Phosphating,94.96773,47,3,0.8300750243,1.4,1.7,1.2, $ 179.50 
X,4130,JFE Lion,Phosphating,1972.99388,52,13,0.6214222859,1.4,1.0,1.7," $ 2,791.74 "
Y,F22,JFE Lion,Ni Plating,1369.511,61,10,0.8300750243,1.7,1.7,1.0," $ 3,580.91 "
X,F22,TenarisHydril Blue®,Xylan Coating,2508.22572,57,14,0.8300750243,1.7,1.1,1.4," $ 4,740.75 "
Y,4130,TenarisHydril Blue®,Carbide Coating,303.0885,6,15,0.6214222859,1.5,1.4,1.9, $ 593.29 
X,F22,JFE Lion,Xylan Coating,1100.099,49,10,0.8300750243,1.8,1.4,1.3," $ 2,079.28 "
Y,4130,JFE Lion,Ni Plating,1711.43973,63,11,0.6214222859,1.2,2.0,1.5," $ 3,350.11 "
Y,F22,JFE Lion,Carbide Coating,1196.18928,37,12,0.8300750243,1.9,1.1,1.7," $ 3,127.72 "
Z,4130,VAM TOP®,Cu Plating,176.01584,49,4,0.6214222859,1.7,1.8,1.7, $ 591.24 
X,F22,JFE Lion,Ni Plating,396.03564,49,6,0.8300750243,1.6,1.5,1.0, $ 748.54 
X,4130,TenarisHydril Blue®,Ni Plating,51.18828,57,2,0.6214222859,2.0,1.3,1.2, $ 72.43 
Y,F22,VAM TOP®,Ni Plating,632.22016,44,8,0.8300750243,1.6,1.1,1.1," $ 1,653.09 "
Y,4130,VAM TOP®,Xylan Coating,48.49416,54,2,0.6214222859,1.2,1.4,1.1, $ 94.93 
X,4130,JFE Lion,Xylan Coating,63.76084,71,2,0.6214222859,1.5,1.6,1.1, $ 90.22 
Z,4130,TenarisHydril Blue®,Xylan Coating,89.804,25,4,0.6214222859,1.9,1.3,1.9, $ 301.65 
Z,4130,JFE Lion,Xylan Coating,775.90656,54,8,0.6214222859,1.8,2.0,1.3," $ 2,606.30 "
Z,F22,JFE Lion,Xylan Coating,945.63612,52,9,0.8300750243,1.0,1.1,1.1," $ 4,242.96 "
X,4130,VAM TOP®,Cu Plating,2778.31125,55,15,0.6214222859,1.7,1.0,1.7," $ 3,931.25 "
Y,4130,VAM TOP®,Phosphating,5.38824,6,2,0.6214222859,2.0,1.7,1.3, $ 10.55 
