Part Family,Material,Threading Type,Coating Type,Weight (lbs),Length (inches),Diameter (inches),RM Cost/Lb,Alpha,Beta,Gamma,Price
X,4130,JFE Lion,Phosphating,948.33024,66,8,0.6214222859,1.8,1.15,1.1," $ 1,341.87 "
Y,4130,TenarisHydril Blue®,Ni Plating,2992.26928,68,14,0.6214222859,2.5,1.2,1.05," $ 5,857.31 "
Z,4130,TenarisHydril Blue®,Cu Plating,3485.51775,69,15,0.6214222859,4.2,1.17,1.1," $ 11,707.98 "
X,4130,JFE Lion,Cu Plating,416.69056,29,8,0.6214222859,1.8,1.15,1.1, $ 589.61 
X,4130,JFE Lion,Carbide Coating,758.8438,20,13,0.6214222859,1.8,1.15,1.1," $ 1,073.75 "
X,4130,TenarisHydril Blue®,Phosphating,226.30608,28,6,0.6214222859,1.8,1.15,1.1, $ 320.22 
X,4130,JFE Lion,Phosphating,1778.1192,55,12,0.6214222859,1.8,1.15,1.1," $ 2,516.00 "
Y,4130,VAM TOP®,Xylan Coating,143.6864,40,4,0.6214222859,2.5,1.2,1.05, $ 281.26 
Z,4130,JFE Lion,Phosphating,2758.77888,48,16,0.6214222859,4.2,1.17,1.1," $ 9,266.84 "
Z,4130,JFE Lion,Carbide Coating,374.03366,34,7,0.6214222859,4.2,1.17,1.1," $ 1,256.39 "
Y,4130,VAM TOP®,Carbide Coating,162.99426,6,11,0.6214222859,2.5,1.2,1.05, $ 319.06 
Z,4130,TenarisHydril Blue®,Ni Plating,224.51,10,10,0.6214222859,4.2,1.17,1.1, $ 754.14 
Z,4130,JFE Lion,Cu Plating,3036.27324,69,14,0.6214222859,4.2,1.17,1.1," $ 10,198.95 "
X,4130,TenarisHydril Blue®,Ni Plating,627.05643,57,7,0.6214222859,1.8,1.15,1.1, $ 887.27 
X,4130,VAM TOP®,Xylan Coating,363.03267,33,7,0.6214222859,1.8,1.15,1.1, $ 513.68 
X,4130,TenarisHydril Blue®,Phosphating,143.46189,71,3,0.6214222859,1.8,1.15,1.1, $ 203.00 
Z,4130,JFE Lion,Cu Plating,646.5888,20,12,0.6214222859,4.2,1.17,1.1," $ 2,171.92 "
Z,4130,TenarisHydril Blue®,Phosphating,26.9412,30,2,0.6214222859,4.2,1.17,1.1, $ 90.50 
Y,4130,TenarisHydril Blue®,Ni Plating,28.06375,5,5,0.6214222859,2.5,1.2,1.05, $ 54.93 
X,4130,JFE Lion,Carbide Coating,2069.08416,36,16,0.6214222859,1.8,1.15,1.1," $ 2,927.71 "
Y,4130,VAM TOP®,Ni Plating,404.118,18,10,0.6214222859,2.5,1.2,1.05, $ 791.05 
X,4130,TenarisHydril Blue®,Cu Plating,1466.94834,54,11,0.6214222859,1.8,1.15,1.1," $ 2,075.70 "
Y,4130,TenarisHydril Blue®,Carbide Coating,72.74124,9,6,0.6214222859,2.5,1.2,1.05, $ 142.39 
X,4130,TenarisHydril Blue®,Phosphating,1100.099,25,14,0.6214222859,1.8,1.15,1.1," $ 1,556.62 "
Y,4130,JFE Lion,Phosphating,169.72956,21,6,0.6214222859,2.5,1.2,1.05, $ 332.24 
Y,4130,TenarisHydril Blue®,Cu Plating,501.10632,62,6,0.6214222859,2.5,1.2,1.05, $ 980.91 
Y,4130,VAM TOP®,Xylan Coating,1707.39855,45,13,0.6214222859,2.5,1.2,1.05," $ 3,342.20 "
Y,4130,VAM TOP®,Ni Plating,58.3726,65,2,0.6214222859,2.5,1.2,1.05, $ 114.26 
X,4130,JFE Lion,Ni Plating,1792.93686,66,11,0.6214222859,1.8,1.15,1.1," $ 2,536.97 "
Y,4130,TenarisHydril Blue®,Xylan Coating,48.49416,6,6,0.6214222859,2.5,1.2,1.05, $ 94.93 
Y,4130,VAM TOP®,Phosphating,246.961,11,10,0.6214222859,2.5,1.2,1.05, $ 483.42 
Y,4130,TenarisHydril Blue®,Xylan Coating,86.21184,24,4,0.6214222859,2.5,1.2,1.05, $ 168.76 
X,4130,TenarisHydril Blue®,Phosphating,836.52426,46,9,0.6214222859,1.8,1.15,1.1," $ 1,183.66 "
Y,4130,TenarisHydril Blue®,Ni Plating,56.57652,63,2,0.6214222859,2.5,1.2,1.05, $ 110.75 
Y,4130,TenarisHydril Blue®,Ni Plating,211.93744,59,4,0.6214222859,2.5,1.2,1.05, $ 414.86 
X,4130,VAM TOP®,Cu Plating,660.0594,15,14,0.6214222859,1.8,1.15,1.1, $ 933.97 
Y,4130,TenarisHydril Blue®,Ni Plating,3637.062,72,15,0.6214222859,2.5,1.2,1.05," $ 7,119.48 "
Y,4130,JFE Lion,Xylan Coating,298.82281,11,11,0.6214222859,2.5,1.2,1.05, $ 584.94 
X,4130,JFE Lion,Phosphating,46.69808,52,2,0.6214222859,1.8,1.15,1.1, $ 66.08 
X,4130,VAM TOP®,Xylan Coating,1257.256,56,10,0.6214222859,1.8,1.15,1.1," $ 1,778.99 "
Z,4130,TenarisHydril Blue®,Xylan Coating,32.32944,4,6,0.6214222859,4.2,1.17,1.1, $ 108.60 
