Part Family,X,Y,Z,Material,4130,F22,Threading Type,JFE Lion,TenarisHydril Blue®,VAM TOP®,Coating Type,Phosphating,Xylan Coating,Ni Plating,Cu Plating,Carbide Coating,Weight (lbs),Length (inches),Diameter (inches),RM Cost/Lb,Alpha,Beta,Gamma,Price
X,1,0,0,4130,1,0,JFE Lion,1,0,0,Phosphating,1,0,0,0,0,948.33024,66,8,0.6214222859,1.2,1.1,1.1," $ 1,341.87 "
X,1,0,0,F22,0,1,TenarisHydril Blue®,0,1,0,Xylan Coating,0,1,0,0,0,165.23936,46,4,0.8300750243,1.6,1.8,1.5, $ 312.32 
Y,0,1,0,4130,1,0,TenarisHydril Blue®,0,1,0,Ni Plating,0,0,1,0,0,2992.26928,68,14,0.6214222859,1.6,1.8,1.1," $ 5,857.31 "
Z,0,0,1,4130,1,0,TenarisHydril Blue®,0,1,0,Cu Plating,0,0,0,1,0,3485.51775,69,15,0.6214222859,1.1,1.8,1.5," $ 11,707.98 "
X,1,0,0,4130,1,0,JFE Lion,1,0,0,Cu Plating,0,0,0,1,0,416.69056,29,8,0.6214222859,1.1,1.2,1.9, $ 589.61 
X,1,0,0,F22,0,1,JFE Lion,1,0,0,Ni Plating,0,0,1,0,0,341.03069,31,7,0.8300750243,1.8,1.3,1.4, $ 644.58 
X,1,0,0,4130,1,0,JFE Lion,1,0,0,Carbide Coating,0,0,0,0,1,758.8438,20,13,0.6214222859,1.2,2.0,1.7," $ 1,073.75 "
X,1,0,0,F22,0,1,TenarisHydril Blue®,0,1,0,Xylan Coating,0,1,0,0,0,517.04653,47,7,0.8300750243,1.1,1.1,1.6, $ 977.26 
Y,0,1,0,F22,0,1,JFE Lion,1,0,0,Ni Plating,0,0,1,0,0,1092.01664,19,16,0.8300750243,1.3,1.9,1.3," $ 2,855.34 "
X,1,0,0,4130,1,0,TenarisHydril Blue®,0,1,0,Phosphating,1,0,0,0,0,226.30608,28,6,0.6214222859,1.3,1.0,1.0, $ 320.22 
X,1,0,0,F22,0,1,JFE Lion,1,0,0,Xylan Coating,0,1,0,0,0,1363.89825,27,15,0.8300750243,1.6,1.3,1.6," $ 2,577.88 "
X,1,0,0,4130,1,0,JFE Lion,1,0,0,Phosphating,1,0,0,0,0,1778.1192,55,12,0.6214222859,1.2,1.4,1.9," $ 2,516.00 "
Y,0,1,0,4130,1,0,VAM TOP®,0,0,1,Xylan Coating,0,1,0,0,0,143.6864,40,4,0.6214222859,1.6,1.2,1.0, $ 281.26 
Z,0,0,1,4130,1,0,JFE Lion,1,0,0,Phosphating,1,0,0,0,0,2758.77888,48,16,0.6214222859,1.4,1.7,1.9," $ 9,266.84 "
Z,0,0,1,4130,1,0,JFE Lion,1,0,0,Carbide Coating,0,0,0,0,1,374.03366,34,7,0.6214222859,1.5,1.0,1.0," $ 1,256.39 "
Y,0,1,0,4130,1,0,VAM TOP®,0,0,1,Carbide Coating,0,0,0,0,1,162.99426,6,11,0.6214222859,1.8,1.2,1.9, $ 319.06 
Y,0,1,0,F22,0,1,VAM TOP®,0,0,1,Ni Plating,0,0,1,0,0,1212.354,54,10,0.8300750243,1.9,1.0,1.4," $ 3,169.99 "
X,1,0,0,F22,0,1,TenarisHydril Blue®,0,1,0,Phosphating,1,0,0,0,0,25.14512,28,2,0.8300750243,1.0,1.2,1.7, $ 47.53 
X,1,0,0,F22,0,1,VAM TOP®,0,0,1,Ni Plating,0,0,1,0,0,64.65888,8,6,0.8300750243,1.4,1.6,1.4, $ 122.21 
Z,0,0,1,4130,1,0,TenarisHydril Blue®,0,1,0,Ni Plating,0,0,1,0,0,224.51,10,10,0.6214222859,1.1,1.8,1.3, $ 754.14 
Z,0,0,1,4130,1,0,JFE Lion,1,0,0,Cu Plating,0,0,0,1,0,3036.27324,69,14,0.6214222859,1.7,1.0,1.3," $ 10,198.95 "
X,1,0,0,4130,1,0,TenarisHydril Blue®,0,1,0,Ni Plating,0,0,1,0,0,627.05643,57,7,0.6214222859,1.6,1.6,1.1, $ 887.27 
X,1,0,0,4130,1,0,VAM TOP®,0,0,1,Xylan Coating,0,1,0,0,0,363.03267,33,7,0.6214222859,1.0,1.4,1.6, $ 513.68 
Y,0,1,0,F22,0,1,TenarisHydril Blue®,0,1,0,Ni Plating,0,0,1,0,0,17.9608,20,2,0.8300750243,1.7,1.5,1.4, $ 46.96 
X,1,0,0,4130,1,0,TenarisHydril Blue®,0,1,0,Phosphating,1,0,0,0,0,143.46189,71,3,0.6214222859,1.4,1.7,1.2, $ 203.00 
X,1,0,0,F22,0,1,VAM TOP®,0,0,1,Ni Plating,0,0,1,0,0,808.236,25,12,0.8300750243,1.4,1.9,1.6," $ 1,527.63 "
Z,0,0,1,4130,1,0,JFE Lion,1,0,0,Cu Plating,0,0,0,1,0,646.5888,20,12,0.6214222859,1.7,1.5,1.7," $ 2,171.92 "
Z,0,0,1,4130,1,0,TenarisHydril Blue®,0,1,0,Phosphating,1,0,0,0,0,26.9412,30,2,0.6214222859,1.5,1.5,2.0, $ 90.50 
Y,0,1,0,4130,1,0,TenarisHydril Blue®,0,1,0,Ni Plating,0,0,1,0,0,28.06375,5,5,0.6214222859,1.4,1.3,1.8, $ 54.93 
X,1,0,0,4130,1,0,JFE Lion,1,0,0,Carbide Coating,0,0,0,0,1,2069.08416,36,16,0.6214222859,1.4,1.2,1.0," $ 2,927.71 "
Y,0,1,0,F22,0,1,TenarisHydril Blue®,0,1,0,Cu Plating,0,0,0,1,0,1086.6284,40,11,0.8300750243,1.9,1.2,1.4," $ 2,841.25 "
X,1,0,0,F22,0,1,VAM TOP®,0,0,1,Xylan Coating,0,1,0,0,0,449.02,20,10,0.8300750243,1.3,1.7,1.5, $ 848.68 
Y,0,1,0,4130,1,0,VAM TOP®,0,0,1,Ni Plating,0,0,1,0,0,404.118,18,10,0.6214222859,1.3,1.3,1.5, $ 791.05 
X,1,0,0,4130,1,0,TenarisHydril Blue®,0,1,0,Cu Plating,0,0,0,1,0,1466.94834,54,11,0.6214222859,1.9,1.6,1.7," $ 2,075.70 "
X,1,0,0,F22,0,1,JFE Lion,1,0,0,Phosphating,1,0,0,0,0,1100.32351,29,13,0.8300750243,1.2,1.3,1.6," $ 2,079.70 "
Y,0,1,0,4130,1,0,TenarisHydril Blue®,0,1,0,Carbide Coating,0,0,0,0,1,72.74124,9,6,0.6214222859,1.5,1.4,1.8, $ 142.39 
Y,0,1,0,F22,0,1,TenarisHydril Blue®,0,1,0,Phosphating,1,0,0,0,0,404.118,50,6,0.8300750243,1.7,1.7,1.2," $ 1,056.66 "
X,1,0,0,4130,1,0,TenarisHydril Blue®,0,1,0,Phosphating,1,0,0,0,0,1100.099,25,14,0.6214222859,1.4,1.1,1.5," $ 1,556.62 "
X,1,0,0,F22,0,1,VAM TOP®,0,0,1,Carbide Coating,0,0,0,0,1,258.63552,72,4,0.8300750243,1.2,1.7,1.6, $ 488.84 
Y,0,1,0,4130,1,0,JFE Lion,1,0,0,Phosphating,1,0,0,0,0,169.72956,21,6,0.6214222859,1.1,1.3,2.0, $ 332.24 
Y,0,1,0,4130,1,0,TenarisHydril Blue®,0,1,0,Cu Plating,0,0,0,1,0,501.10632,62,6,0.6214222859,1.3,1.6,1.9, $ 980.91 
Y,0,1,0,4130,1,0,VAM TOP®,0,0,1,Xylan Coating,0,1,0,0,0,1707.39855,45,13,0.6214222859,1.8,2.0,1.5," $ 3,342.20 "
X,1,0,0,F22,0,1,JFE Lion,1,0,0,Cu Plating,0,0,0,1,0,2010.93607,53,13,0.8300750243,1.5,1.6,1.3," $ 3,800.83 "
Y,0,1,0,4130,1,0,VAM TOP®,0,0,1,Ni Plating,0,0,1,0,0,58.3726,65,2,0.6214222859,1.0,1.5,1.1, $ 114.26 
X,1,0,0,4130,1,0,JFE Lion,1,0,0,Ni Plating,0,0,1,0,0,1792.93686,66,11,0.6214222859,1.5,1.8,1.9," $ 2,536.97 "
Y,0,1,0,4130,1,0,TenarisHydril Blue®,0,1,0,Xylan Coating,0,1,0,0,0,48.49416,6,6,0.6214222859,1.9,1.0,1.5, $ 94.93 
