Part Family,Material Grade,Threading Type,Coating Type,Weight (MT),Length (inches),Diameter (inches),RM Cost/MT,Volume,Alpha,Beta,Gamma,Price
Brazil,4130,JFE Lion,Carbide Coating,145,5,32,"$1,781.00",4021.238597,1.8,1.15,1.1,"$4,582,401.22"
Romania,F22,VAM TOP®,Xylan Coating,163,68,17,"$2,415.00",15434.64471,2.5,1.2,1.01,"$31,736,769.70"
Brazil,4130,JFE Lion,Phosphating,120,47,25,"$1,781.00",23071.07105,1.8,1.15,1,"$23,900,574.57"
Singapore,F22,TenarisHydril Blue®,Carbide Coating,82,37,40,"$2,215.29",46495.57127,2.5,1.17,1.1,"$93,125,164.01"
China,4130,TenarisHydril Blue®,Cu Plating,9,9,4,"$1,370.00",113.0973355,1.8,1.17,1.02,"$93,527.17"
Europe,F22,VAM TOP®,Ni Plating,38,29,36,"$2,400.00",29518.40457,2.5,1.2,1.05,"$62,707,717.94"
Singapore,F22,VAM TOP®,Ni Plating,41,2,29,"$2,215.29",1321.039711,2.5,1.2,1.05,"$2,590,379.14"
China,F22,JFE Lion,Cu Plating,7,133,39,"$1,830.00",158880.5507,2.5,1.15,1.02,"$239,588,609.38"
USA,4130,TenarisHydril Blue®,Phosphating,61,41,15,"$1,690.50",7245.298057,1.8,1.17,1,"$7,248,299.30"
Europe,4130,VAM TOP®,Phosphating,142,134,30,"$1,470.00",94719.01851,1.8,1.2,1,"$84,511,263.54"
USA,4130,VAM TOP®,Ni Plating,12,26,5,"$1,690.50",510.5088062,1.8,1.2,1.05,"$550,006.45"
Brazil,4130,TenarisHydril Blue®,Carbide Coating,196,23,38,"$1,781.00",26084.6438,1.8,1.17,1.1,"$30,241,700.08"
Europe,F22,JFE Lion,Phosphating,54,121,25,"$2,400.00",59395.73611,2.5,1.15,1,"$115,162,392.74"
China,4130,VAM TOP®,Xylan Coating,3,45,9,"$1,370.00",2862.776306,1.8,1.2,1.01,"$2,404,304.26"
Brazil,4130,JFE Lion,Cu Plating,35,71,7,"$1,781.00",2732.40021,1.8,1.15,1.02,"$2,887,254.50"
