Part Family,Material Grade,Threading Type,Coating Type,Weight (lbs),Length (inches),Diameter (inches),RM Cost/Lb,Volume,Alpha,Beta,Gamma,Price
X,C,JFE Lion,Phosphating,97,18,11,$3.50,1709.73,1.8,1.15,1,"$3,480.75"
X,A,JFE Lion,Ni Plating,146,28,15,$12.00,4945.5,1.8,1.15,1.05,"$36,245.78"
X,B,JFE Lion,Cu Plating,350,14,8,$2.80,703.36,1.8,1.15,1.02,"$1,168.46"
X,D,VAM TOP®,Xylane Coating,232,32,7,$1.10,1230.88,1.8,1.2,1.01,$830.02
X,C,JFE Lion,Ni Plating,220,34,18,$3.50,8647.56,1.8,1.15,1.05,"$18,485.35"
X,B,VAM TOP®,Phosphating,374,9,12,$2.80,1017.36,1.8,1.2,1,"$1,728.99"
X,A,JFE Lion,Ni Plating,49,31,5,$12.00,608.375,1.8,1.15,1.05,"$4,458.81"
X,C,JFE Lion,Cu Plating,167,19,17,$3.50,4310.435,1.8,1.15,1.02,"$8,950.89"
X,D,TenarisHydril Blue®,Xylane Coating,410,27,8,$1.10,1356.48,1.8,1.17,1.01,$891.85
X,B,TenarisHydril Blue®,Ni Plating,390,32,12,$2.80,3617.28,1.8,1.17,1.05,"$6,293.53"
X,D,VAM TOP®,Carbide Coating,211,15,11,$1.10,1424.775,1.8,1.2,1.1,"$1,046.39"
X,C,VAM TOP®,Xylane Coating,289,4,10,$3.50,314,1.8,1.2,1.01,$673.72
X,B,JFE Lion,Xylane Coating,479,10,17,$2.80,2268.65,1.8,1.15,1.01,"$3,731.84"
X,D,JFE Lion,Xylane Coating,420,31,12,$1.10,3504.24,1.8,1.15,1.01,"$2,264.56"
X,A,JFE Lion,Cu Plating,172,20,6,$12.00,565.2,1.8,1.15,1.02,"$4,024.02"
X,A,TenarisHydril Blue®,Phosphating,398,18,3,$12.00,127.17,1.8,1.17,1,$903.09
X,A,TenarisHydril Blue®,Xylane Coating,445,14,18,$12.00,3560.76,1.8,1.17,1.01,"$25,539.36"
X,B,TenarisHydril Blue®,Phosphating,158,30,7,$2.80,1153.95,1.8,1.17,1,"$1,912.10"
X,A,TenarisHydril Blue®,Phosphating,205,31,3,$12.00,219.015,1.8,1.17,1,"$1,555.32"
X,C,JFE Lion,Phosphating,196,23,7,$3.50,884.695,1.8,1.15,1,"$1,801.10"
Y,D,VAM TOP®,Ni Plating,203,16,10,$1.10,1256,2.5,1.2,1.05,"$1,222.92"
Y,B,VAM TOP®,Carbide Coating,249,34,13,$2.80,4510.61,2.5,1.2,1.1,"$11,711.53"
Y,C,JFE Lion,Cu Plating,107,19,7,$3.50,730.835,2.5,1.15,1.02,"$2,107.81"
Y,C,VAM TOP®,Carbide Coating,179,27,11,$3.50,2564.595,2.5,1.2,1.1,"$8,323.52"
Y,C,TenarisHydril Blue®,Phosphating,423,26,18,$3.50,6612.84,2.5,1.17,1,"$19,023.40"
Y,C,TenarisHydril Blue®,Cu Plating,134,8,7,$3.50,307.72,2.5,1.17,1.02,$902.93
Y,C,TenarisHydril Blue®,Ni Plating,111,13,11,$3.50,1234.805,2.5,1.17,1.05,"$3,729.82"
Y,D,JFE Lion,Cu Plating,74,33,9,$1.10,2098.305,2.5,1.15,1.02,"$1,901.98"
Y,A,JFE Lion,Ni Plating,453,9,15,$12.00,1589.625,2.5,1.15,1.05,"$16,181.15"
Y,A,JFE Lion,Ni Plating,59,5,11,$12.00,474.925,2.5,1.15,1.05,"$4,834.37"
Y,D,VAM TOP®,Xylane Coating,276,35,4,$1.10,439.6,2.5,1.2,1.01,$411.72
Y,D,JFE Lion,Ni Plating,318,30,9,$1.10,1907.55,2.5,1.15,1.05,"$1,779.93"
Y,A,TenarisHydril Blue®,Carbide Coating,388,24,13,$12.00,3183.96,2.5,1.17,1.1,"$34,544.09"
Y,A,TenarisHydril Blue®,Phosphating,45,11,18,$12.00,2797.74,2.5,1.17,1,"$27,594.39"
Y,B,TenarisHydril Blue®,Phosphating,301,28,17,$2.80,6352.22,2.5,1.17,1,"$14,618.94"
Y,D,VAM TOP®,Phosphating,30,16,17,$1.10,3629.84,2.5,1.2,1,"$3,365.95"
Y,C,VAM TOP®,Carbide Coating,313,27,16,$3.50,5425.92,2.5,1.2,1.1,"$17,610.09"
Y,A,TenarisHydril Blue®,Xylane Coating,283,15,10,$12.00,1177.5,2.5,1.17,1.01,"$11,729.94"
Y,A,VAM TOP®,Xylane Coating,101,24,16,$12.00,4823.04,2.5,1.2,1.01,"$49,277.77"
Y,D,JFE Lion,Xylane Coating,86,14,8,$1.10,703.36,2.5,1.15,1.01,$631.30
Z,C,TenarisHydril Blue®,Carbide Coating,493,35,17,$3.50,7940.275,4.2,1.17,1.1,"$42,212.18"
Z,A,JFE Lion,Carbide Coating,82,11,15,$12.00,1942.875,4.2,1.15,1.1,"$34,807.45"
Z,D,VAM TOP®,Ni Plating,236,11,13,$1.10,1459.315,4.2,1.2,1.05,"$2,387.09"
Z,A,JFE Lion,Phosphating,156,20,8,$12.00,1004.8,4.2,1.15,1,"$16,364.94"
Z,A,JFE Lion,Ni Plating,79,9,17,$12.00,2041.785,4.2,1.15,1.05,"$34,916.77"
Z,D,TenarisHydril Blue®,Xylane Coating,133,24,11,$1.10,2279.64,4.2,1.17,1.01,"$3,497.21"
Z,A,JFE Lion,Carbide Coating,406,6,17,$12.00,1361.19,4.2,1.15,1.1,"$24,386.31"
Z,D,TenarisHydril Blue®,Carbide Coating,67,9,4,$1.10,113.04,4.2,1.17,1.1,$188.87
Z,B,TenarisHydril Blue®,Ni Plating,442,12,4,$2.80,150.72,4.2,1.17,1.05,$611.87
Z,D,VAM TOP®,Ni Plating,38,16,5,$1.10,314,4.2,1.2,1.05,$513.63
Z,B,VAM TOP®,Carbide Coating,158,31,8,$2.80,1557.44,4.2,1.2,1.1,"$6,793.58"
Z,A,TenarisHydril Blue®,Ni Plating,26,28,6,$12.00,791.28,4.2,1.17,1.05,"$13,767.09"
Z,B,VAM TOP®,Phosphating,303,23,15,$2.80,4062.375,4.2,1.2,1,"$16,109.23"
Z,A,TenarisHydril Blue®,Phosphating,235,14,18,$12.00,3560.76,4.2,1.17,1,"$59,001.82"
Z,A,VAM TOP®,Xylane Coating,255,25,18,$12.00,6358.5,4.2,1.2,1.01,"$109,142.56"
Z,D,TenarisHydril Blue®,Phosphating,65,32,4,$1.10,401.92,4.2,1.17,1,$610.48
Z,B,VAM TOP®,Ni Plating,457,16,17,$2.80,3629.84,4.2,1.2,1.05,"$15,113.73"
Z,A,VAM TOP®,Ni Plating,341,5,4,$12.00,62.8,4.2,1.2,1.05,"$1,120.64"
Z,D,VAM TOP®,Xylane Coating,8,14,12,$1.10,1582.56,4.2,1.2,1.01,"$2,490.07"
